Timestamp	Price	Change	
Jan 2001	25.96	3.02
Feb 2001	27.24	4.93
Mar 2001	25.02	-8.15
Apr 2001	25.72	2.80
May 2001	27.55	7.12
Jun 2001	26.97	-2.11
Jul 2001	24.80	-8.05
Aug 2001	25.82	4.11
Sep 2001	25.21	-2.36
Oct 2001	20.73	-17.77
Nov 2001	18.69	-9.84
Dec 2001	18.52	-0.91
Jan 2002	19.15	3.40
Feb 2002	19.98	4.33
Mar 2002	23.64	18.32
Apr 2002	25.43	7.57
May 2002	25.67	0.94
Jun 2002	24.49	-4.60
Jul 2002	25.75	5.14
Aug 2002	26.78	4.00
Sep 2002	28.28	5.60
Oct 2002	27.53	-2.65
Nov 2002	24.54	-10.86
Dec 2002	27.89	13.65
Jan 2003	30.75	10.25
Feb 2003	32.88	6.93
Mar 2003	30.36	-7.66
Apr 2003	25.56	-15.81
May 2003	26.06	1.96
Jun 2003	27.92	7.14
Jul 2003	28.59	2.40
Aug 2003	29.68	3.81
Sep 2003	26.88	-9.43
Oct 2003	29.01	7.92
Nov 2003	29.12	0.38
Dec 2003	29.97	2.92
Jan 2004	31.37	4.67
Feb 2004	31.33	-0.13
Mar 2004	33.67	7.47
Apr 2004	33.71	0.12
May 2004	37.56	11.42
Jun 2004	35.54	-5.38
Jul 2004	37.89	6.61
Aug 2004	42.08	11.06
Sep 2004	41.60	-1.14
Oct 2004	46.88	12.69
Nov 2004	42.13	-10.13
Dec 2004	39.04	-7.33
Jan 2005	42.97	10.07
Feb 2005	44.82	4.31
Mar 2005	50.94	13.65
Apr 2005	50.64	-0.59
May 2005	47.83	-5.55
Jun 2005	53.89	12.67
Jul 2005	56.37	4.60
Aug 2005	61.89	9.79
Sep 2005	61.69	-0.32
Oct 2005	58.19	-5.67
Nov 2005	55.04	-5.41
Dec 2005	56.43	2.53
Jan 2006	62.46	10.69
Feb 2006	59.70	-4.42
Mar 2006	60.93	2.06
Apr 2006	67.97	11.55
May 2006	68.68	1.04
Jun 2006	68.29	-0.57
Jul 2006	72.45	6.09
Aug 2006	71.81	-0.88
Sep 2006	62.12	-13.49
Oct 2006	57.91	-6.78
Nov 2006	58.14	0.40
Dec 2006	60.99	4.90
Jan 2007	53.52	-12.25
Feb 2007	57.56	7.55
Mar 2007	60.60	5.28
Apr 2007	65.06	7.36
May 2007	65.16	0.15
Jun 2007	68.19	4.65
Jul 2007	73.60	7.93
Aug 2007	70.13	-4.71
Sep 2007	76.76	9.45
Oct 2007	81.97	6.79
Nov 2007	91.34	11.43
Dec 2007	89.52	-1.99
Jan 2008	90.69	1.31
Feb 2008	93.39	2.98
Mar 2008	101.84	9.05
Apr 2008	108.76	6.79
May 2008	122.63	12.75
Jun 2008	131.52	7.25
Jul 2008	132.83	1.00
Aug 2008	114.57	-13.75
Sep 2008	99.66	-13.01
Oct 2008	72.69	-27.06
Nov 2008	53.97	-25.75
Dec 2008	41.34	-23.40
Jan 2009	43.86	6.10
Feb 2009	41.84	-4.61
Mar 2009	46.65	11.50
Apr 2009	50.28	7.78
May 2009	58.15	15.65
Jun 2009	69.15	18.92
Jul 2009	64.67	-6.48
Aug 2009	71.63	10.76
Sep 2009	68.35	-4.58
Oct 2009	74.08	8.38
Nov 2009	77.55	4.68
Dec 2009	74.88	-3.44
Jan 2010	77.12	2.99
Feb 2010	74.76	-3.06
Mar 2010	79.30	6.07
Apr 2010	84.18	6.15
May 2010	75.62	-10.17
Jun 2010	74.73	-1.18
Jul 2010	74.58	-0.20
Aug 2010	75.83	1.68
Sep 2010	76.12	0.38
Oct 2010	81.72	7.36
Nov 2010	84.53	3.44
Dec 2010	90.01	6.48
Jan 2011	92.69	2.98
Feb 2011	97.91	5.63
Mar 2011	108.65	10.97
Apr 2011	116.24	6.99
May 2011	108.07	-7.03
Jun 2011	105.85	-2.05
Jul 2011	107.92	1.96
Aug 2011	100.49	-6.88
Sep 2011	100.82	0.33
Oct 2011	99.85	-0.96
Nov 2011	105.41	5.57
Dec 2011	104.23	-1.12
Jan 2012	107.07	2.72
Feb 2012	112.69	5.25
Mar 2012	117.79	4.53
Apr 2012	113.67	-3.50
May 2012	104.09	-8.43
Jun 2012	90.73	-12.84
Jul 2012	96.75	6.64
Aug 2012	105.27	8.81
Sep 2012	106.28	0.96
Oct 2012	103.41	-2.70
Nov 2012	101.17	-2.17
Dec 2012	101.19	0.02
Jan 2013	105.10	3.86
Feb 2013	107.64	2.42
Mar 2013	102.52	-4.76
Apr 2013	98.85	-3.58
May 2013	99.37	0.53
Jun 2013	99.74	0.37
Jul 2013	105.26	5.53
Aug 2013	108.16	2.76
Sep 2013	108.76	0.55
Oct 2013	105.43	-3.06
Nov 2013	102.63	-2.66
Dec 2013	105.48	2.78
